icd_code,icd_description,candidate_domain,similarity_score,rank_position,model_name,accepted_as_top1
04149,other and unspecified escherichia coli [e. coli],Eliminacao e Troca,0.29868972301483154,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
04149,other and unspecified escherichia coli [e. coli],Nutricao,0.24069325625896454,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
04149,other and unspecified escherichia coli [e. coli],Seguranca/Protecao,0.2397560477256775,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
2651,other and unspecified manifestations of thiamine deficiency,Nutricao,0.3434900641441345,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
2651,other and unspecified manifestations of thiamine deficiency,Percepcao/Cognicao,0.33718204498291016,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
2651,other and unspecified manifestations of thiamine deficiency,Crescimento/Desenvolvimento,0.2758229970932007,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
71594,"osteoarthrosis, unspecified whether generalized or localized, hand",Eliminacao e Troca,0.1870829463005066,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
71594,"osteoarthrosis, unspecified whether generalized or localized, hand",Seguranca/Protecao,0.17600476741790771,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
71594,"osteoarthrosis, unspecified whether generalized or localized, hand",Percepcao/Cognicao,0.16766390204429626,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
7904,nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [ldh],Nutricao,0.2588885426521301,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
7904,nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [ldh],Seguranca/Protecao,0.258301317691803,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
7904,nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [ldh],Enfrentamento/Tolerancia ao Estresse,0.25630247592926025,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V140,pedal cycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident,Atividade/Repouso,0.25396493077278137,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V140,pedal cycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident,Conforto,0.1238209679722786,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V140,pedal cycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident,Percepcao/Cognicao,0.11735537648200989,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V141,pedal cycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident,Atividade/Repouso,0.2590276896953583,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V141,pedal cycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident,Conforto,0.15930023789405823,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V141,pedal cycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident,Percepcao/Cognicao,0.12934990227222443,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V4581,aortocoronary bypass status,Atividade/Repouso,0.2900407016277313,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V4581,aortocoronary bypass status,Sexualidade,0.20027904212474823,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V4581,aortocoronary bypass status,Eliminacao e Troca,0.17621052265167236,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
56089,other specified intestinal obstruction,Eliminacao e Troca,0.4932814836502075,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
56089,other specified intestinal obstruction,Nutricao,0.4365104138851166,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
56089,other specified intestinal obstruction,Percepcao/Cognicao,0.3595598340034485,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
6185,prolapse of vaginal vault after hysterectomy,Sexualidade,0.4502038359642029,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
6185,prolapse of vaginal vault after hysterectomy,Conforto,0.25106969475746155,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
6185,prolapse of vaginal vault after hysterectomy,Percepcao/Cognicao,0.23533791303634644,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
7892,splenomegaly,Nutricao,0.2348441779613495,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
7892,splenomegaly,Eliminacao e Troca,0.22460973262786865,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
7892,splenomegaly,Crescimento/Desenvolvimento,0.2217947393655777,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
E912,inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation,Eliminacao e Troca,0.35049957036972046,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
E912,inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation,Atividade/Repouso,0.347773015499115,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
E912,inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation,Seguranca/Protecao,0.3046606779098511,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
E9290,late effects of motor vehicle accident,Percepcao/Cognicao,0.27901726961135864,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
E9290,late effects of motor vehicle accident,Conforto,0.17711134254932404,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
E9290,late effects of motor vehicle accident,Enfrentamento/Tolerancia ao Estresse,0.17404934763908386,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V4365,knee joint replacement,Eliminacao e Troca,0.2128545641899109,1,pritamdeka/S-BioBERT-snli-multinli-stsb,1
V4365,knee joint replacement,Sexualidade,0.2014351338148117,2,pritamdeka/S-BioBERT-snli-multinli-stsb,0
V4365,knee joint replacement,Conforto,0.1562645435333252,3,pritamdeka/S-BioBERT-snli-multinli-stsb,0
